Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
40,,,0.00031,8.306624e-05,1.53435,0.001373499,0.0017,0.0001095445
45,,,0.0002,0.0001183216,10.0153,0.004450843,0.00979,0.0001374773
50,,,0.00027,9e-05,1.61903,0.0006450581,0.00176,0.0001280625
60,,,0.0003,6.324555e-05,0.25549,0.0003419064,0.00058,7.483315e-05
70,,,0.00015,0.0001284523,0.56979,0.00033,0.00095,6.708204e-05
80,,,0.00025,0.0001360147,0.46138,0.0005653318,0.00067,0.0001268858
90,,,0.0004,0.0001095445,1.9033,0.003170489,0.00213,7.81025e-05
100,,,0.0003,7.745967e-05,0.34898,0.0004166533,0.00115,9.219544e-05
110,,,0.00035,0.0001024695,0.25735,0.00015,0.00128,9.797959e-05
120,,,0.00032,7.483315e-05,0.57733,0.00039,0.00362,0.0001077033